category,Coefficient,Value,Std. Error,p
API,(Intercept),-3.8498,1.3138,0.0034
API,AgeSubadult,-0.4534,0.461,0.3254
API,AgeAdult,-0.0764,0.364,0.8336
API,ParkHainich,4.9721,0.3255,0
API,ParkHunsrueck,NA,0,NA
API,ParkSaechs_Schw,NA,0,NA
API,ParkJasmund,NA,0,NA
API,ParkKellerwald,4.8168,0.5349,0
API,ParkEiffel,NA,0,NA
API,ParkVorpomm,NA,0,NA
API,ps(Date_numeric)3,-0.8109,1.2127,0.5037
API,ps(Date_numeric)4,-1.3786,1.6571,0.4054
API,ps(Date_numeric)5,-1.1254,1.6482,0.4947
API,ps(Date_numeric)6,-0.5373,1.5159,0.723
API,ps(Date_numeric)7,-0.2627,1.4354,0.8548
API,ps(Date_numeric)8,-0.0795,1.3691,0.9537
API,ps(Date_numeric)9,-0.0175,1.3388,0.9895
API,ps(Date_numeric)10,-0.3573,1.3415,0.79
API,ps(Date_numeric)11,-0.4158,1.4431,0.7732
API,ps(Date_numeric)12,-0.1843,1.5328,0.9043
API,ps(Date_numeric)13,0.1104,1.9673,0.9552
API,ps(Date_numeric)14,0.4052,3.017,0.8932
API,Log(scale),-0.44,0.2188,0.0443
Anthropogenic pollution,(Intercept),2.1137,0.8564,0.0136
Anthropogenic pollution,AgeSubadult,0.1951,0.2229,0.3814
Anthropogenic pollution,AgeAdult,0.071,0.2078,0.7325
Anthropogenic pollution,ParkHainich,-0.3394,0.3939,0.3889
Anthropogenic pollution,ParkHunsrueck,-1.26,0.4286,0.0033
Anthropogenic pollution,ParkSaechs_Schw,0.3888,0.3683,0.2912
Anthropogenic pollution,ParkJasmund,0.8245,0.3888,0.0339
Anthropogenic pollution,ParkKellerwald,-1.6249,0.5088,0.0014
Anthropogenic pollution,ParkEiffel,-1.0262,0.3934,0.0091
Anthropogenic pollution,ParkVorpomm,0.1129,0.3969,0.776
Anthropogenic pollution,ps(Date_numeric)3,-0.6174,0.5979,0.3018
Anthropogenic pollution,ps(Date_numeric)4,-1.1661,0.8552,0.1728
Anthropogenic pollution,ps(Date_numeric)5,-1.412,0.9051,0.1187
Anthropogenic pollution,ps(Date_numeric)6,-1.5311,0.8902,0.0855
Anthropogenic pollution,ps(Date_numeric)7,-1.3716,0.8535,0.108
Anthropogenic pollution,ps(Date_numeric)8,-1.0943,0.8221,0.1832
Anthropogenic pollution,ps(Date_numeric)9,-1.021,0.8052,0.2048
Anthropogenic pollution,ps(Date_numeric)10,-1.1421,0.8049,0.156
Anthropogenic pollution,ps(Date_numeric)11,-1.0763,0.8272,0.1932
Anthropogenic pollution,ps(Date_numeric)12,-0.9681,0.8368,0.2473
Anthropogenic pollution,ps(Date_numeric)13,-1.2366,0.8502,0.1458
Anthropogenic pollution,ps(Date_numeric)14,-1.5875,1.0697,0.1378
Anthropogenic pollution,Log(scale),0.4245,0.0579,0
Industrial chemical,(Intercept),-1.7155,1.7419,0.3247
Industrial chemical,AgeSubadult,-0.1578,0.3368,0.6393
Industrial chemical,AgeAdult,-0.2295,0.365,0.5294
Industrial chemical,ParkHainich,-1.8713,0.7077,0.0082
Industrial chemical,ParkHunsrueck,-0.1283,1.1042,0.9075
Industrial chemical,ParkSaechs_Schw,0.5193,0.7278,0.4755
Industrial chemical,ParkJasmund,NA,0,NA
Industrial chemical,ParkKellerwald,NA,0,NA
Industrial chemical,ParkEiffel,0.6714,0.7539,0.3731
Industrial chemical,ParkVorpomm,-0.2992,1.044,0.7744
Industrial chemical,ps(Date_numeric)3,0.0885,1.0604,0.9335
Industrial chemical,ps(Date_numeric)4,0.186,1.6111,0.9081
Industrial chemical,ps(Date_numeric)5,0.3173,1.7675,0.8575
Industrial chemical,ps(Date_numeric)6,0.4642,1.7446,0.7902
Industrial chemical,ps(Date_numeric)7,0.5861,1.6932,0.7292
Industrial chemical,ps(Date_numeric)8,0.638,1.6422,0.6977
Industrial chemical,ps(Date_numeric)9,0.6114,1.6252,0.7068
Industrial chemical,ps(Date_numeric)10,0.4813,1.6278,0.7675
Industrial chemical,ps(Date_numeric)11,0.2986,1.6597,0.8572
Industrial chemical,ps(Date_numeric)12,0.1468,1.6654,0.9298
Industrial chemical,ps(Date_numeric)13,0.0626,1.6704,0.9701
Industrial chemical,ps(Date_numeric)14,-0.0046,1.9816,0.9982
Industrial chemical,Log(scale),0.5273,0,0
PAH,(Intercept),2.8092,0.1797,0
PAH,AgeSubadult,0.0312,0.0491,0.5251
PAH,AgeAdult,0.0392,0.046,0.3937
PAH,ParkHainich,-0.053,0.0903,0.5567
PAH,ParkHunsrueck,0.0403,0.0824,0.6247
PAH,ParkSaechs_Schw,-0.1376,0.0858,0.1086
PAH,ParkJasmund,-0.072,0.0931,0.4398
PAH,ParkKellerwald,-0.1782,0.105,0.0897
PAH,ParkEiffel,0.0038,0.081,0.9623
PAH,ParkVorpomm,-0.1164,0.0934,0.2127
PAH,ps(Date_numeric)3,-0.0718,0.1283,0.5759
PAH,ps(Date_numeric)4,-0.1337,0.1796,0.4568
PAH,ps(Date_numeric)5,-0.1503,0.187,0.4216
PAH,ps(Date_numeric)6,-0.1746,0.1834,0.3412
PAH,ps(Date_numeric)7,-0.2207,0.1759,0.2095
PAH,ps(Date_numeric)8,-0.2472,0.1708,0.1478
PAH,ps(Date_numeric)9,-0.2335,0.1671,0.1622
PAH,ps(Date_numeric)10,-0.1994,0.1666,0.2314
PAH,ps(Date_numeric)11,-0.1956,0.1733,0.259
PAH,ps(Date_numeric)12,-0.206,0.1773,0.2454
PAH,ps(Date_numeric)13,-0.1742,0.1819,0.3381
