category,Coefficient,Value,Std. Error,p
POP,(Intercept),0.6074,0.5434,0.2636
POP,ParkHainich,-0.0155,0.1868,0.9337
POP,ParkHunsrueck,1.0791,0.1682,0
POP,ParkSaechs_Schw,0.4989,0.1597,0.0018
POP,ParkJasmund,-0.998,0.2085,0
POP,ParkKellerwald,0.9777,0.1857,0
POP,ParkEiffel,0.8596,0.1621,0
POP,ParkVorpomm,-0.4183,0.1922,0.0296
POP,ParkNon-Park,0.9274,0.3253,0.0044
POP,ps(Date_numeric)3,0.0154,0.2917,0.9579
POP,ps(Date_numeric)4,0.0394,0.4318,0.9273
POP,ps(Date_numeric)5,0.0862,0.4854,0.859
POP,ps(Date_numeric)6,0.1576,0.5131,0.7587
POP,ps(Date_numeric)7,0.2209,0.5372,0.6809
POP,ps(Date_numeric)8,0.2647,0.5427,0.6257
POP,ps(Date_numeric)9,0.2254,0.5373,0.6748
POP,ps(Date_numeric)10,0.0813,0.5334,0.8789
POP,ps(Date_numeric)11,0.0115,0.5359,0.9829
POP,ps(Date_numeric)12,0.1721,0.5307,0.7458
POP,ps(Date_numeric)13,0.4485,0.5432,0.409
POP,ps(Date_numeric)14,0.744,0.6701,0.2669
POP,Log(scale),-0.6176,0.0491,0
Pesticide,(Intercept),1.0287,2.8747,0.7205
Pesticide,ParkHainich,0.6313,0.8456,0.4553
Pesticide,ParkHunsrueck,NA,0,NA
Pesticide,ParkSaechs_Schw,NA,0,NA
Pesticide,ParkJasmund,0.3951,0.8383,0.6374
Pesticide,ParkKellerwald,NA,0,NA
Pesticide,ParkEiffel,NA,0,NA
Pesticide,ParkVorpomm,NA,0,NA
Pesticide,ParkNon-Park,-1.9329,1.548,0.2118
Pesticide,ps(Date_numeric)3,-0.6856,2.343,0.7698
Pesticide,ps(Date_numeric)4,-1.3534,3.1983,0.6722
Pesticide,ps(Date_numeric)5,-1.9372,3.0066,0.5194
Pesticide,ps(Date_numeric)6,-2.4068,2.7664,0.3843
Pesticide,ps(Date_numeric)7,-2.7523,2.9143,0.345
Pesticide,ps(Date_numeric)8,-2.984,3.0061,0.3209
Pesticide,ps(Date_numeric)9,-3.1072,3.0185,0.3033
Pesticide,ps(Date_numeric)10,-3.1189,2.9788,0.2951
Pesticide,ps(Date_numeric)11,-3.0196,2.9776,0.3105
Pesticide,ps(Date_numeric)12,-2.8666,2.8808,0.3197
Pesticide,ps(Date_numeric)13,-2.7143,2.8637,0.3432
Pesticide,ps(Date_numeric)14,-2.5624,4.0095,0.5228
Pesticide,Log(scale),0.4878,0,0
